,user_id,treatment,if_on,live_date,gender,age_range,live_stream_duration,live_stream_cnt,total_watching_duration,receive_amount,like_cnt,comment_cnt,share_cnt,voice_comment_cnt
3499101,626020569,1,1,2018-12-11,F,24-30,4870,5,24618,2.0,956,51,1,0
2858141,329545890,1,1,2018-12-16,M,31-40,2830,3,545,0.0,8,1,2,0
1679914,52490864,1,1,2018-12-17,F,18-23,16011,7,50310,1895.0,1074,281,2,0
109617,391002391,1,1,2018-12-10,M,24-30,5205,2,28443,173.0,509,293,4,56
2474899,1004670800,1,1,2018-12-06,M,41-49,1878,1,4348,23.0,528,45,5,0
1104724,1093529886,1,1,2018-12-01,F,50+,8656,2,1558,1.0,2043,2,0,0
23581,75901098,1,1,2018-12-01,M,31-40,21802,3,311409,3141.0,13437,992,24,0
1270729,540618905,1,1,2018-12-06,F,31-40,2017,4,2256,10.0,662,37,0,0
576106,69188682,1,1,2018-12-18,F,18-23,7275,5,23106,569.0,586,129,3,0
213406,735718165,1,1,2018-12-16,F,31-40,19638,3,1112559,39744.0,72150,1866,28,0
1875992,730911113,1,1,2018-12-02,F,41-49,10827,14,46965,1153.0,2701,236,7,0
291853,48568508,1,1,2018-12-15,F,18-23,660,1,2779,0.0,14,45,0,0
1378373,1062120509,1,1,2018-12-20,F,41-49,4638,11,3020,90.0,1435,9,2,8
2970362,710848188,1,1,2018-12-04,M,31-40,2050,1,5179,18.0,42,15,0,0
2127108,653325874,1,1,2018-12-18,F,41-49,13,1,0,0.0,0,0,0,0
508999,797179917,1,1,2018-12-10,F,50+,66,2,25,0.0,0,0,1,0
1733395,233637375,1,1,2018-12-08,M,31-40,1146,1,349,0.0,10,4,0,0
2373121,544286252,1,1,2018-12-17,F,24-30,1231,7,464,0.0,9,0,0,0
3101582,201350304,1,1,2018-12-15,F,18-23,1400,1,715,0.0,40,12,0,0
3276101,802476635,1,1,2018-12-14,M,31-40,634,1,409,0.0,38,0,0,2
302358,82922997,1,1,2018-12-06,M,24-30,450,4,3,0.0,0,0,0,0
2822020,179488957,1,1,2018-12-13,F,24-30,1101,1,3002,0.0,4,32,1,0
3121204,275464838,1,1,2018-12-19,M,31-40,163,1,3,0.0,0,0,0,0
356760,273022946,1,1,2018-12-18,F,18-23,7368,4,154164,1671.0,3774,157,5,0
574232,60075487,1,1,2018-12-17,M,24-30,3234,1,2681,2.0,57,25,0,0
2498639,30868060,1,1,2018-12-17,M,18-23,821,2,642,0.0,3,4,0,0
2844167,266042281,1,1,2018-12-15,M,18-23,1914,1,6946,337.0,295,64,0,0
2406836,683058262,1,1,2018-12-02,F,50+,674,2,281,0.0,10,3,0,0
1296264,648893942,1,1,2018-12-17,M,31-40,8730,4,54220,2397.0,6719,219,4,0
2905049,466725413,1,1,2018-12-02,F,24-30,155,1,0,0.0,0,0,0,0
2306091,341233818,1,1,2018-12-20,M,31-40,53,1,2,0.0,0,0,0,0
1060932,780992388,1,1,2018-12-01,M,31-40,205,1,8,0.0,0,0,0,0
2769762,12613378,1,1,2018-12-18,F,24-30,211,2,8,0.0,0,0,0,0
2991900,777684529,1,1,2018-12-10,M,50+,239,1,7,0.0,0,0,0,0
2265932,166905456,1,1,2018-12-19,M,24-30,14046,8,6595,6.0,86,50,2,0
566766,34823013,1,1,2018-12-15,M,18-23,26698,15,16161,50.0,8582,126,3,0
955859,424022437,1,1,2018-12-01,M,41-49,579,1,351,0.0,8,0,0,0
3186371,482347670,1,1,2018-12-18,M,18-23,5375,6,8743,32.0,503,101,0,0
430348,512934683,1,1,2018-12-19,M,24-30,4772,5,1520,54.0,53,24,1,0
1724390,203178076,1,1,2018-12-20,F,31-40,3799,2,41746,13.0,45,103,3,33
2002434,204198273,1,1,2018-12-17,F,18-23,4053,6,4284,6.0,81,21,2,0
1000383,564380291,1,1,2018-12-08,M,31-40,1026,1,837,0.0,4,20,0,0
3588094,1083399660,1,1,2018-12-13,M,24-30,1274,2,386,100.0,27,0,0,0
2432155,762458349,1,1,2018-12-17,M,31-40,2270,2,1395,0.0,57,13,0,5
1717903,174074690,1,1,2018-12-11,M,31-40,4074,2,7137,36.0,30,116,1,0
1766002,365660669,1,1,2018-12-11,M,24-30,655,3,222,6.0,11,0,0,0
2118984,623067464,1,1,2018-12-06,F,50+,1312,5,4321,0.0,55,12,0,0
811089,916846246,1,1,2018-12-05,M,18-23,7112,5,102876,2193.0,2130,467,8,0
1910160,852221484,1,1,2018-12-11,M,31-40,26,1,0,0.0,0,0,0,0
639876,296125626,1,1,2018-12-06,F,31-40,3124,1,5937,94.0,155,100,0,0
171345,588244605,1,1,2018-12-16,M,18-23,7619,1,667511,275.0,34310,324,32,0
888381,174630944,1,1,2018-12-10,M,18-23,37,1,4,0.0,0,0,0,0
2096526,522559667,1,1,2018-12-09,M,24-30,2334,3,2407,0.0,27,29,0,0
2566581,262160420,1,1,2018-12-20,F,18-23,1499,1,250,10.0,90,3,0,0
422053,483746108,1,1,2018-12-02,M,24-30,6926,2,3996,22.0,450,34,1,0
2228685,48754579,1,1,2018-12-16,F,18-23,5456,3,14223,377.0,85,70,1,219
1351280,831176484,1,1,2018-12-03,F,31-40,360,4,35,0.0,0,0,0,0
1086726,902864203,1,1,2018-12-12,M,41-49,5243,1,4251,5.0,262,13,4,0
3090478,157094911,1,1,2018-12-11,M,31-40,347,2,237,60.0,4,0,0,1
219211,754004316,1,1,2018-12-09,M,31-40,9308,7,26200,73.0,1328,92,0,71
3405025,303841101,1,1,2018-12-08,M,24-30,812,2,567,2.0,29,7,2,0
1345916,810623848,1,1,2018-12-19,M,41-49,68,1,119,0.0,0,0,0,0
1209434,356171083,1,1,2018-12-06,M,24-30,143,1,3,0.0,0,0,0,0
3101403,200686953,1,1,2018-12-14,F,24-30,1545,3,4653,287.0,669,61,2,3
1090641,931024101,1,1,2018-12-11,F,41-49,16160,6,114823,415.0,2363,471,5,14
521820,850339192,1,1,2018-12-20,F,50+,1191,1,1228,0.0,45,3,1,0
2774760,23996971,1,1,2018-12-15,F,31-40,3546,1,18004,2.0,974,168,2,0
1278350,577040095,1,1,2018-12-06,M,24-30,3828,1,13392,202.0,3306,96,1,0
1090116,927239892,1,1,2018-12-16,M,31-40,27,1,3,0.0,0,0,0,0
1337683,781667674,1,1,2018-12-03,M,18-23,7138,8,4126,0.0,912,3,0,0
2218697,17691872,1,1,2018-12-02,M,24-30,1601,4,88,0.0,0,0,0,0
3530043,735736071,1,1,2018-12-19,F,31-40,7270,2,38088,1747.0,6039,275,1,0
1586109,691235450,1,1,2018-12-09,F,31-40,5888,16,2950,0.0,77,35,0,23
127286,434493007,1,1,2018-12-20,M,31-40,1305,3,205,0.0,3,0,0,0
2961686,683273927,1,1,2018-12-20,M,24-30,58,1,0,0.0,0,0,0,0
1678307,48657931,1,1,2018-12-17,M,24-30,1658,2,19120,44.0,274,22,0,0
3356439,121924444,1,1,2018-12-01,M,31-40,1860,3,812,0.0,5,7,0,0
198351,686759424,1,1,2018-12-13,M,18-23,8876,5,15035,148.0,1088,95,0,0
716117,541691960,1,1,2018-12-13,F,24-30,2005,2,2104,10.0,451,15,1,12
1792567,437689379,1,1,2018-12-16,F,41-49,2698,8,9503,60.0,532,66,0,0
193989,672215297,1,1,2018-12-15,M,31-40,873,1,832,0.0,1,10,0,4
3416852,353137088,1,1,2018-12-19,M,24-30,36,1,0,0.0,0,0,0,0
3411402,334257240,1,1,2018-12-04,M,18-23,4317,2,22636,1072.0,5468,102,1,0
3476525,529782323,1,1,2018-12-16,M,24-30,49,1,353,0.0,1,3,0,0
2718197,790404851,1,1,2018-12-20,M,24-30,1847,2,3096,0.0,44,15,1,9
2050924,393964005,1,1,2018-12-11,F,18-23,7540,9,25396,44.0,119,100,1,174
1100757,1049424331,1,1,2018-12-03,M,41-49,298,1,0,0.0,0,0,0,0
2032696,331931229,1,1,2018-12-15,M,18-23,860,1,596,3.0,67,2,0,0
1645993,955082293,1,1,2018-12-15,F,50+,525,1,761,0.0,14,12,0,0
2945073,622627315,1,1,2018-12-11,F,18-23,3483,1,7493,43.0,159,157,0,0
1961175,60740374,1,1,2018-12-06,M,18-23,658,2,671,0.0,8,2,0,0
3217563,604063628,1,1,2018-12-19,F,31-40,572,2,995,0.0,2,1,0,0
3426301,382378469,1,1,2018-12-09,M,24-30,354,3,634,0.0,9,2,0,0
3238789,684648795,1,1,2018-12-18,F,41-49,262,2,5,0.0,0,0,0,0
3008840,844501773,1,1,2018-12-13,F,31-40,1739,4,2490,0.0,134,5,2,0
3369653,160483315,1,1,2018-12-01,M,18-23,263,4,53,0.0,10,0,0,0
1026716,669499734,1,1,2018-12-16,M,31-40,7875,1,74962,1694.0,5647,325,5,0
440773,551482296,1,1,2018-12-15,M,18-23,879,3,346,0.0,8,10,0,0
2178082,827598323,1,1,2018-12-16,M,31-40,864,1,1292,0.0,7,2,0,3
667084,396553369,1,1,2018-12-07,F,24-30,4214,2,12530,133.0,372,56,0,5
2727879,823923674,1,1,2018-12-12,F,41-49,4196,2,173934,4.0,337,101,6,187
638875,290974779,1,1,2018-12-06,M,31-40,1833,2,112,0.0,0,0,0,0
669336,401776860,1,1,2018-12-12,M,24-30,3274,3,59315,373.0,4052,133,8,0
2749001,961440677,1,1,2018-12-05,M,24-30,3658,1,3408,0.0,6192,0,0,0
1018063,641020478,1,1,2018-12-14,M,31-40,1184,2,1564,0.0,4,2,1,0
474099,684443280,1,1,2018-12-06,F,31-40,2017,3,4035,1.0,15,28,2,13
2900632,455403089,1,1,2018-12-18,M,31-40,367,2,174,0.0,0,2,1,0
2901409,457017403,1,1,2018-12-14,M,41-49,303,1,0,0.0,0,0,0,0
1224623,401619772,1,1,2018-12-17,M,24-30,611,3,213,0.0,1,9,0,0
2197270,958392714,1,1,2018-12-04,M,50+,20916,5,517689,866.0,8436,534,37,0
1310101,694445097,1,1,2018-12-07,F,24-30,3897,1,45855,497.0,387,145,2,0
468866,667201536,1,1,2018-12-03,F,31-40,257,1,657,5.0,24,2,0,5
940511,380263046,1,1,2018-12-11,F,12-17,68,2,4,0.0,0,0,0,0
3429282,391729785,1,1,2018-12-01,M,24-30,8617,1,1766737,17944.0,26165,1358,63,0
2526716,123897087,1,1,2018-12-08,F,24-30,6555,4,77854,117.0,2192,239,3,0
3517347,691553855,1,1,2018-12-12,F,24-30,10161,3,8691,0.0,347,34,0,193
799988,847755809,1,1,2018-12-10,M,24-30,11699,3,32922,578.0,856,338,2,25
3305108,1007646028,1,1,2018-12-15,F,41-49,43478,3,378506,233.0,2502,310,4,0
160834,541497658,1,1,2018-12-04,M,31-40,5068,4,6842,144.0,620,44,2,1
1903618,818891174,1,1,2018-12-08,F,31-40,634,2,45,0.0,0,0,0,0
816830,970540055,1,1,2018-12-13,M,18-23,23,1,0,0.0,0,0,0,0
715220,537527774,1,1,2018-12-16,M,31-40,2051,4,73,0.0,2,1,0,0
2524234,115519120,1,1,2018-12-19,F,24-30,3229,2,15143,0.0,54,62,3,25
1295839,646927627,1,1,2018-12-13,F,31-40,629,1,1876,7.0,41,16,2,0
1247238,463019318,1,1,2018-12-13,M,18-23,4105,5,1080,0.0,0,28,0,0
2394494,636728576,1,1,2018-12-01,M,41-49,2359,1,4924,18.0,414,3,2,7
1183982,245279718,1,1,2018-12-17,M,31-40,1361,3,1552,0.0,12,12,0,0
3137707,348860654,1,1,2018-12-12,F,31-40,209,1,32,0.0,0,0,0,0
1186088,254751921,1,1,2018-12-15,F,18-23,34,1,0,0.0,0,0,0,0
264531,1016212366,1,1,2018-12-01,F,18-23,4217,5,4787,36.0,233,20,0,0
3044255,10655137,1,1,2018-12-02,M,41-49,5351,1,966141,1772.0,9407,574,14,0
1596690,726726061,1,1,2018-12-20,M,31-40,458,2,9,0.0,0,0,0,0
3433392,402492706,1,1,2018-12-10,F,41-49,1543,3,1549,0.0,438,1,0,0
715219,537527774,1,1,2018-12-19,M,31-40,98,1,4,0.0,0,0,0,0
3214279,590070220,1,1,2018-12-11,M,0-12,127,1,182,2.0,7,0,0,0
3411309,333806270,1,1,2018-12-17,M,50+,5390,2,16010,23.0,2441,42,0,3
2182233,852330771,1,1,2018-12-09,M,24-30,739,2,93,0.0,4,1,0,0
3164184,425220574,1,1,2018-12-13,M,31-40,964,1,1595,1.0,111,15,0,2
1082801,877286027,1,1,2018-12-10,F,24-30,6562,3,23694,673.0,1895,306,3,67
525203,868882496,1,1,2018-12-10,M,24-30,1408,1,3123,0.0,98,10,0,20
88964,320740290,1,1,2018-12-02,F,31-40,14341,10,71003,597.0,9732,257,1,0
1555014,572241627,1,1,2018-12-19,M,24-30,1586,1,1651,0.0,93,1,0,15
233312,798992480,1,1,2018-12-16,M,24-30,3996,3,5897,0.0,342,86,2,0
2509476,68310439,1,1,2018-12-18,F,18-23,676,3,23,0.0,0,0,0,0
441538,554301398,1,1,2018-12-20,M,24-30,2790,1,5955,9.0,156,90,0,0
2712405,771434809,1,1,2018-12-02,F,24-30,155,1,142,0.0,0,0,0,0
2134146,680018085,1,1,2018-12-09,F,18-23,3654,1,11386,51.0,375,96,1,15
164069,555324484,1,1,2018-12-18,M,31-40,16048,10,50128,432.0,206,259,3,0
3548365,794425390,1,1,2018-12-09,F,41-49,280,1,172,0.0,0,0,0,0
3278926,811146738,1,1,2018-12-03,F,18-23,3080,5,4566,73.0,168,36,2,3
727600,591458599,1,1,2018-12-14,M,31-40,2752,6,3339,50.0,332,61,0,0
1748324,299642795,1,1,2018-12-15,F,24-30,878,2,420,2.0,5,0,0,2
2876990,392138043,1,1,2018-12-10,M,50+,1567,1,2416,6.0,613,11,0,0
1583244,681714458,1,1,2018-12-18,M,24-30,22211,9,223037,6.0,1362,160,12,0
3421022,366341721,1,1,2018-12-17,F,18-23,663,1,86,0.0,0,0,0,0
959661,432242298,1,1,2018-12-14,M,18-23,1132,1,2521,9.0,127,36,0,1
3506758,654126153,1,1,2018-12-02,M,41-49,420,1,79,0.0,0,0,0,0
2008980,228427062,1,1,2018-12-11,M,24-30,264,1,74,0.0,1,0,0,0
975687,473492533,1,1,2018-12-06,M,24-30,3505,3,3432,4.0,88,64,0,0
888468,175110462,1,1,2018-12-12,M,18-23,1068,1,841,0.0,9,23,0,0
66271,222505140,1,1,2018-12-17,M,31-40,2047,8,1885,347.0,15,16,0,0
3309403,1058786598,1,1,2018-12-11,F,41-49,3689,1,14980,63.0,485,147,0,8
527166,878293131,1,1,2018-12-02,M,31-40,1704,4,1524,0.0,0,0,0,0
2331013,415687730,1,1,2018-12-10,F,31-40,2600,1,6364,65.0,453,72,2,6
31787,103426245,1,1,2018-12-14,F,24-30,5611,3,12197,82.0,62,101,3,42
3548685,795341825,1,1,2018-12-01,F,18-23,1028,4,2505,5.0,19,20,0,0
3346496,91014357,1,1,2018-12-20,F,24-30,285,1,0,0.0,0,0,0,0
2604285,404517739,1,1,2018-12-04,M,24-30,1329,1,1942,0.0,20,45,0,0
2107192,570475028,1,1,2018-12-09,F,41-49,6146,7,4697,9.0,8,18,3,0
860176,84768769,1,1,2018-12-11,M,18-23,3208,4,7795,16.0,124,82,0,11
34262,112392007,1,1,2018-12-07,M,31-40,2717,6,787,19.0,12,5,0,0
1326073,745608859,1,1,2018-12-12,F,31-40,461,4,132,0.0,17,0,0,0
2207894,1089286490,1,1,2018-12-20,M,31-40,20,1,0,0.0,0,0,0,0
3021316,919209848,1,1,2018-12-10,M,31-40,2454,3,4247,110.0,121,38,0,0
1787297,425611183,1,1,2018-12-16,M,31-40,556,1,53,0.0,3,0,0,0
3266661,769002077,1,1,2018-12-16,F,18-23,113,1,25,0.0,0,0,0,0
3130031,319928842,1,1,2018-12-03,M,50+,372,2,955,2.0,53,9,0,0
117193,410203755,1,1,2018-12-05,F,41-49,13073,7,77773,478.0,1026,286,15,128
971219,463538368,1,1,2018-12-13,M,31-40,1471,1,5762,5.0,112,14,1,0
3492151,596555419,1,1,2018-12-05,F,24-30,8795,4,30796,50.0,764,115,1,240
3489735,585635523,1,1,2018-12-20,M,31-40,751,1,170,0.0,1,8,0,0
1456451,234229758,1,1,2018-12-09,F,24-30,3732,3,22698,239.0,358,122,0,0
614615,197209393,1,1,2018-12-10,M,24-30,642,3,72,0.0,4,0,0,0
2129141,659522207,1,1,2018-12-14,F,31-40,13526,1,57717,386.0,1074,675,7,71
2814557,155502644,1,1,2018-12-14,F,24-30,1628,5,1158,0.0,27,16,0,0
993249,534869550,1,1,2018-12-18,F,24-30,71,1,9,0.0,0,0,0,0
2720105,796946165,1,1,2018-12-09,F,18-23,11402,3,67312,3752.0,1928,438,4,0
3453989,456376757,1,1,2018-12-11,M,18-23,5082,5,13344,162.0,390,148,0,0
2959437,674228280,1,1,2018-12-03,F,24-30,28174,6,122314,180.0,3450,534,8,305
1611197,770127991,1,1,2018-12-09,M,41-49,7955,3,42688,170.0,1309,104,10,90
1981283,128732220,1,1,2018-12-04,M,18-23,69,2,5,0.0,0,0,0,0
592597,122141205,1,1,2018-12-05,F,31-40,394,3,10,0.0,3,0,0,0
157570,528382829,1,1,2018-12-06,F,41-49,328,1,41,0.0,0,0,0,0
681673,433637624,1,1,2018-12-09,F,24-30,3801,2,9704,11.0,207,30,1,0
1296176,648569072,1,1,2018-12-09,F,31-40,102,1,0,0.0,0,0,0,0
1930082,1024542685,1,1,2018-12-16,M,24-30,201,1,12,0.0,0,0,0,0
580035,81025169,1,1,2018-12-09,M,24-30,5163,6,11858,21.0,1211,72,8,19
524676,865750783,1,1,2018-12-03,F,18-23,2452,1,5057,119.0,35,35,0,0
461999,642161326,1,1,2018-12-08,M,31-40,489,1,561,0.0,15,3,0,0
1359065,877746592,1,1,2018-12-12,M,18-23,91,1,0,0.0,0,0,0,0
3140091,356561516,1,1,2018-12-19,F,18-23,426,1,219,0.0,10,1,0,1
777898,764097546,1,1,2018-12-02,M,31-40,601,5,33,0.0,0,0,0,0
2387100,605893200,1,1,2018-12-12,M,31-40,309,2,5,0.0,0,0,0,0
386095,390083617,1,1,2018-12-01,M,31-40,1463,5,33,0.0,0,0,0,0
2513357,80288587,1,1,2018-12-13,M,18-23,4400,5,60509,58.0,7055,51,8,1
272378,1100963656,1,1,2018-12-15,F,41-49,623,2,117,0.0,1,1,0,0
1653221,1044000837,1,1,2018-12-03,F,50+,3761,2,927,0.0,56,9,0,0
475583,688907337,1,1,2018-12-04,M,50+,7297,2,16236,5.0,309,35,6,0
882567,155493527,1,1,2018-12-19,F,24-30,3627,2,9437,56.0,135,74,2,7
1885211,757243146,1,1,2018-12-15,M,31-40,74,2,23,0.0,0,0,0,0
1561446,599943457,1,1,2018-12-07,F,18-23,522,3,546,37.0,216,18,0,0
3286495,844280943,1,1,2018-12-02,M,41-49,2890,2,2680,0.0,16,3,0,0
1565167,615390967,1,1,2018-12-06,M,24-30,3678,2,2289,0.0,298,21,0,0
220634,757795012,1,1,2018-12-12,M,18-23,89,1,15,0.0,0,0,0,0
3314925,1112130148,1,1,2018-12-14,M,50+,7740,5,7816,45.0,173,91,0,5
2923578,524509997,1,1,2018-12-01,M,50+,341,1,25,0.0,0,0,0,0
1202420,331069032,1,1,2018-12-06,M,31-40,4425,2,11259,134.0,130,104,0,69
2616668,436348551,1,1,2018-12-16,F,24-30,385,1,8,0.0,0,0,0,0
2967018,698906219,1,1,2018-12-15,F,24-30,4960,2,15286,45.0,231,318,2,29
937852,371916786,1,1,2018-12-10,F,41-49,6999,5,14010,66.0,680,129,0,0
959942,433003773,1,1,2018-12-13,M,50+,646,1,554,0.0,3,6,0,0
2593764,375511879,1,1,2018-12-14,F,18-23,4087,2,10958,8.0,52,19,0,1
1452419,223086535,1,1,2018-12-14,M,24-30,14581,11,14601,53.0,1117,126,1,0
1447321,205461408,1,1,2018-12-14,M,18-23,494,2,47,0.0,0,0,0,0
2753907,1015881401,1,1,2018-12-17,M,41-49,52,1,0,0.0,0,0,0,0
41661,135347706,1,1,2018-12-13,M,31-40,11038,3,25445,48.0,1668,134,0,5
3333106,46380664,1,1,2018-12-03,F,18-23,532,1,1232,0.0,9,11,0,0
1064918,794083037,1,1,2018-12-08,M,24-30,413,1,186,0.0,0,0,0,0
279847,12709724,1,1,2018-12-14,M,18-23,2822,2,595,0.0,20,0,0,0
732727,612826907,1,1,2018-12-12,M,41-49,152,1,11,0.0,0,0,0,0
3481881,550416833,1,1,2018-12-12,F,24-30,1361,2,2958,54.0,132,30,0,0
1759751,348822107,1,1,2018-12-18,M,24-30,4640,1,341581,62.0,3355,303,8,0
1613948,778211976,1,1,2018-12-18,M,24-30,74,1,23,0.0,0,0,0,0
1585294,687962193,1,1,2018-12-04,M,31-40,29,1,20,0.0,0,0,0,0
785068,784512486,1,1,2018-12-08,F,24-30,2498,4,2637,0.0,174,28,1,0
645536,323489443,1,1,2018-12-18,M,31-40,1578,1,1554,0.0,94,14,0,0
3559506,834384855,1,1,2018-12-14,F,50+,2493,3,3180,17.0,38,24,1,1
406720,442786514,1,1,2018-12-09,M,31-40,2722,1,16432,1.0,370,41,3,0
2267599,174616900,1,1,2018-12-14,M,24-30,1833,3,1078,0.0,122,3,1,0
1822078,525561566,1,1,2018-12-15,M,31-40,5004,4,6283,57.0,2812,41,4,3
1243854,453184883,1,1,2018-12-12,M,18-23,1343,3,859,10.0,171,5,0,0
1888392,766129361,1,1,2018-12-09,M,31-40,3887,4,6679,284.0,228,50,1,1
1909750,849011433,1,1,2018-12-11,F,24-30,24799,6,1000240,1508.0,5887,1994,70,0
926886,335766490,1,1,2018-12-08,M,50+,7778,1,54756,91.0,2718,354,0,0
2426355,746266433,1,1,2018-12-07,M,50+,1894,1,880,4.0,26,7,2,0
2379675,573633466,1,1,2018-12-14,F,18-23,853,1,134,0.0,1,0,0,0
3130706,322218103,1,0,2018-12-08,M,41-49,18,1,0,0.0,0,0,0,0
2343559,445904436,1,0,2018-12-03,F,24-30,140,1,31,0.0,0,0,0,0
2034563,341158538,1,0,2018-12-13,F,24-30,2962,3,8126,0.0,266,89,3,4
505989,786068219,0,0,2018-12-20,F,41-49,6515,1,51079,823.0,1681,314,1,46
329137,163746883,1,0,2018-12-20,M,24-30,234,2,73,0.0,2,0,0,0
2822182,180127764,1,0,2018-12-03,F,24-30,2902,2,5179,62.0,167,72,2,0
3451577,449229552,1,0,2018-12-18,M,24-30,19,1,15,0.0,0,0,0,0
1299481,658511381,0,0,2018-12-10,F,24-30,2893,1,327817,3712.0,9623,102,4,0
278364,8856433,0,0,2018-12-18,F,18-23,8043,1,17761,123.0,580,211,1,0
914749,276578803,1,0,2018-12-19,F,31-40,8990,3,3553,0.0,60,15,0,0
2579247,323637069,0,0,2018-12-06,F,18-23,80,1,41,0.0,0,0,0,0
3020714,914208319,0,0,2018-12-11,F,31-40,10370,9,309094,703.0,5046,605,22,0
1641073,910511286,1,0,2018-12-10,M,24-30,6898,11,850,24.0,4,14,0,0
2681479,673289489,0,0,2018-12-04,F,31-40,13359,5,135701,1570.0,5073,632,17,38
1717680,173026409,0,0,2018-12-20,M,24-30,5945,1,12474,0.0,595,29,0,0
2876929,391898024,0,0,2018-12-07,M,24-30,721,2,234,1.0,35,5,0,0
490895,740422983,0,0,2018-12-04,F,31-40,7628,3,24649,273.0,262,118,2,131
2815354,157324841,0,0,2018-12-07,F,31-40,540,1,5,0.0,0,0,0,0
999595,560741539,1,0,2018-12-11,M,50+,3563,2,1893,5.0,17,6,2,1
3013825,874296018,0,0,2018-12-16,M,31-40,234,1,39,0.0,0,0,0,0
2653929,559881480,1,0,2018-12-10,M,31-40,11101,4,175753,364.0,5456,258,2,78
711147,520647560,1,0,2018-12-08,M,18-23,125,3,22,0.0,0,0,0,0
2644642,519836605,1,0,2018-12-01,F,31-40,84,1,0,0.0,0,0,0,0
3504573,646233190,0,0,2018-12-12,F,24-30,78,1,0,0.0,0,0,0,0
1636598,880381550,0,0,2018-12-05,M,18-23,396,3,1601,1.0,110,12,0,0
935088,363579158,1,0,2018-12-17,M,31-40,2188,2,407,5.0,3,15,0,0
1427299,134685131,1,0,2018-12-07,M,31-40,2321,1,3300,0.0,215,38,4,0
2535443,150351593,1,0,2018-12-12,M,24-30,1677,2,2792,61.0,18,14,0,0
2650683,544401223,1,0,2018-12-08,F,41-49,12122,1,1205423,17.0,16848,1494,81,0
1386326,1150620414,0,0,2018-12-10,F,31-40,16421,3,24108,463.0,1851,115,2,0
1027710,673994640,1,0,2018-12-18,F,31-40,278,1,210,0.0,13,9,0,0
2522274,110222816,1,0,2018-12-02,F,24-30,8986,2,83503,3243.0,1264,350,8,0
2209510,1104592976,1,0,2018-12-07,F,31-40,11168,2,400678,622.0,2834,654,21,0
2798332,103170689,0,0,2018-12-01,M,18-23,296,3,185,0.0,5,0,0,0
22330,71580834,0,0,2018-12-02,F,31-40,2445,1,7714,150.0,76,73,0,22
1298086,654418890,0,0,2018-12-20,M,50+,28889,3,2091,0.0,8,4,0,0
2579924,326337975,0,0,2018-12-03,M,24-30,174,2,41,0.0,0,0,0,0
1970797,93773101,1,0,2018-12-20,M,18-23,165,1,155,0.0,0,0,0,0
1130529,66092346,1,0,2018-12-15,F,18-23,5602,2,9826,35.0,494,112,0,0
2110463,584747663,1,0,2018-12-20,F,31-40,27,1,0,0.0,0,0,0,0
1920781,922170493,0,0,2018-12-03,F,41-49,882,2,310,1.0,6,3,0,0
1276905,570368313,0,0,2018-12-02,M,50+,218,1,243,0.0,103,1,0,0
1483319,350713736,0,0,2018-12-16,M,18-23,479,1,1277,60.0,16,15,0,0
2609735,419534208,1,0,2018-12-12,F,24-30,45,1,0,0.0,0,0,0,0
733813,617652039,0,0,2018-12-05,F,24-30,330,1,1195,0.0,93,4,0,0
3330985,41500828,0,0,2018-12-13,M,18-23,9107,6,40554,80.0,570,125,3,178
3379586,202483130,0,0,2018-12-12,F,24-30,222,1,66,0.0,0,0,0,0
2045928,377779512,1,0,2018-12-12,M,24-30,380,2,170,0.0,5,3,0,0
2564234,251209545,1,0,2018-12-20,M,31-40,923,1,294,29.0,17,0,0,0
156065,522095730,0,0,2018-12-16,F,31-40,425,1,324,0.0,1,0,0,0
2893764,435759842,1,0,2018-12-15,M,24-30,866,1,847,0.0,1188,0,0,0
3579661,984297488,1,0,2018-12-13,M,41-49,4467,1,5970,2.0,41,10,1,0
1468449,285586349,0,0,2018-12-04,F,31-40,20434,9,42288,29.0,808,524,0,0
1625175,818085823,1,0,2018-12-18,F,41-49,481,2,26,0.0,0,0,0,0
2633050,480928281,1,0,2018-12-09,F,18-23,2345,2,3478,284.0,53,41,0,0
1853544,654518329,0,0,2018-12-18,M,24-30,1243,1,4134,2.0,49,36,0,0
3024882,954323342,0,0,2018-12-07,M,31-40,7827,3,3269,0.0,1,79,0,0
1397186,30482136,0,0,2018-12-04,F,18-23,949,2,3820,30.0,20,33,0,0
3534569,750453774,0,0,2018-12-04,M,41-49,2957,1,2087,0.0,38,12,0,0
3222331,625853292,1,0,2018-12-06,F,31-40,4489,1,5272,2.0,38,52,1,30
2210562,1115495374,1,0,2018-12-05,M,18-23,6226,6,13201,311.0,128,183,1,8
2177617,825341991,1,0,2018-12-03,F,50+,12014,6,24509,35.0,124,121,3,0
665217,391112310,1,0,2018-12-15,F,18-23,89,1,78,0.0,0,0,0,0
2135014,682781911,0,0,2018-12-05,M,31-40,1552,2,1731,10.0,32,28,1,0
2236240,72504825,0,0,2018-12-15,F,24-30,9651,3,34186,2472.0,3380,201,5,0
3267078,770431323,1,0,2018-12-14,F,31-40,181,1,310,0.0,3,3,0,0
2931592,559268058,0,0,2018-12-20,F,18-23,474,1,446,3.0,3,9,0,0
3418335,357733381,0,0,2018-12-03,F,24-30,4480,2,28996,91.0,263,198,0,0
1684925,68927544,0,0,2018-12-13,M,24-30,984,3,1516,0.0,117,37,0,0
